date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:37:04	146/146	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Jul%202026%2010:07:04%20GMT	https://web.archive.org/robots.txt		(from )
15:37:08	96558/96558	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jul%202026%2010:07:08%20GMT	https://web.archive.org/web/20251012052828if_/https://nrec.ac.in/	D:/NREC_Website/NREC/web.archive.org/web/20251012052828if_/https_/nrec.ac.in/index.html	(from )
15:37:09	27135/27135	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2027%20Jun%202026%2000:51:16%20GMT	https://web-static.archive.org/_static/js/bundle-playback.js?v=2N_sDSC0	D:/NREC_Website/NREC/web-static.archive.org/_static/js/bundle-playbackffba.js	(from https://web.archive.org/web/20251012052828if_/https://nrec.ac.in/)
15:37:11	106858/106858	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2027%20Jun%202026%2000:51:16%20GMT	https://web-static.archive.org/_static/js/wombat.js?v=o9P2E1FK	D:/NREC_Website/NREC/web-static.archive.org/_static/js/wombat66b8.js	(from https://web.archive.org/web/20251012052828if_/https://nrec.ac.in/)
15:37:12	381452/381452	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2027%20Jun%202026%2001:33:06%20GMT	https://web-static.archive.org/_static/js/ruffle/ruffle.js	D:/NREC_Website/NREC/web-static.archive.org/_static/js/ruffle/ruffle.js	(from https://web.archive.org/web/20251012052828if_/https://nrec.ac.in/)
15:37:12	10252/10252	---MCZ	200	added ('OK')	text/css	date:Sat,%2027%20Jun%202026%2001:30:46%20GMT	https://web-static.archive.org/_static/css/banner-styles.css?v=1utQkbB3	D:/NREC_Website/NREC/web-static.archive.org/_static/css/banner-styles074f.css	(from https://web.archive.org/web/20251012052828if_/https://nrec.ac.in/)
15:37:13	5649/5649	---MCZ	200	added ('OK')	text/css	date:Sat,%2027%20Jun%202026%2000:51:16%20GMT	https://web-static.archive.org/_static/css/iconochive.css?v=3PDvdIFv	D:/NREC_Website/NREC/web-static.archive.org/_static/css/iconochive29a7.css	(from https://web.archive.org/web/20251012052828if_/https://nrec.ac.in/)
15:37:14	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2008%20Jul%202026%2010:07:14%20GMT	https://web.archive.org/web/20251012052828im_/https://nrec.ac.in/images/favicon.png	D:/NREC_Website/NREC/web.archive.org/web/20251012052828im_/https_/nrec.ac.in/images/favicon.png	(from https://web.archive.org/web/20251012052828if_/https://nrec.ac.in/)
15:37:16	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2008%20Jul%202026%2010:07:17%20GMT	https://web.archive.org/web/20250928091800im_/http://www.nrec.ac.in/images/favicon.png	D:/NREC_Website/NREC/web.archive.org/web/20250928091800im_/http_/www.nrec.ac.in/images/favicon.png	(from https://web.archive.org/web/20251012052828if_/https://nrec.ac.in/)
15:37:17	4552/4552	---M--	200	added ('OK')	image/png	date:Wed,%2008%20Jul%202026%2010:07:17%20GMT	https://web.archive.org/web/20240809001349im_/https://nrec.ac.in/images/favicon.png	D:/NREC_Website/NREC/web.archive.org/web/20240809001349im_/https_/nrec.ac.in/images/favicon.png	(from https://web.archive.org/web/20251012052828if_/https://nrec.ac.in/)
15:37:18	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2008%20Jul%202026%2010:07:19%20GMT	https://web.archive.org/web/20251012052828cs_/https://nrec.ac.in/css/bootstrap.min.css	D:/NREC_Website/NREC/web.archive.org/web/20251012052828cs_/https_/nrec.ac.in/css/bootstrap.min.css	(from https://web.archive.org/web/20251012052828if_/https://nrec.ac.in/)
15:37:24	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2008%20Jul%202026%2010:07:24%20GMT	https://web.archive.org/web/20250928102208cs_/http://www.nrec.ac.in/css/bootstrap.min.css	D:/NREC_Website/NREC/web.archive.org/web/20250928102208cs_/http_/www.nrec.ac.in/css/bootstrap.min.css	(from https://web.archive.org/web/20251012052828if_/https://nrec.ac.in/)
15:37:27	141395/141395	---MCZ	200	added ('OK')	text/css	date:Wed,%2008%20Jul%202026%2010:07:27%20GMT	https://web.archive.org/web/20240809095142cs_/https://nrec.ac.in/css/bootstrap.min.css	D:/NREC_Website/NREC/web.archive.org/web/20240809095142cs_/https_/nrec.ac.in/css/bootstrap.min.css	(from https://web.archive.org/web/20251012052828if_/https://nrec.ac.in/)
15:37:30	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2008%20Jul%202026%2010:07:30%20GMT	https://web.archive.org/web/20251012052828cs_/https://nrec.ac.in/css/animate.css	D:/NREC_Website/NREC/web.archive.org/web/20251012052828cs_/https_/nrec.ac.in/css/animate.css	(from https://web.archive.org/web/20251012052828if_/https://nrec.ac.in/)
15:37:34	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2008%20Jul%202026%2010:07:35%20GMT	https://web.archive.org/web/20250928101846cs_/http://www.nrec.ac.in/css/animate.css	D:/NREC_Website/NREC/web.archive.org/web/20250928101846cs_/http_/www.nrec.ac.in/css/animate.css	(from https://web.archive.org/web/20251012052828if_/https://nrec.ac.in/)
15:37:37	61162/61162	---MCZ	200	added ('OK')	text/css	date:Wed,%2008%20Jul%202026%2010:07:37%20GMT	https://web.archive.org/web/20240809005254cs_/https://nrec.ac.in/css/animate.css	D:/NREC_Website/NREC/web.archive.org/web/20240809005254cs_/https_/nrec.ac.in/css/animate.css	(from https://web.archive.org/web/20251012052828if_/https://nrec.ac.in/)
15:37:38	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2008%20Jul%202026%2010:07:38%20GMT	https://web.archive.org/web/20251012052828cs_/https://nrec.ac.in/css/font-awesome.css	D:/NREC_Website/NREC/web.archive.org/web/20251012052828cs_/https_/nrec.ac.in/css/font-awesome.css	(from https://web.archive.org/web/20251012052828if_/https://nrec.ac.in/)
15:37:45	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2008%20Jul%202026%2010:07:45%20GMT	https://web.archive.org/web/20250928122209cs_/http://www.nrec.ac.in/css/font-awesome.css	D:/NREC_Website/NREC/web.archive.org/web/20250928122209cs_/http_/www.nrec.ac.in/css/font-awesome.css	(from https://web.archive.org/web/20251012052828if_/https://nrec.ac.in/)
15:37:58	31339/31339	---MCZ	200	added ('OK')	text/css	date:Wed,%2008%20Jul%202026%2010:07:58%20GMT	https://web.archive.org/web/20240809083954cs_/https://www.nrec.ac.in/css/font-awesome.css	D:/NREC_Website/NREC/web.archive.org/web/20240809083954cs_/https_/www.nrec.ac.in/css/font-awesome.css	(from https://web.archive.org/web/20251012052828if_/https://nrec.ac.in/)
15:38:01	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2008%20Jul%202026%2010:08:01%20GMT	https://web.archive.org/web/20251012052828cs_/https://nrec.ac.in/css/themify-icons.css	D:/NREC_Website/NREC/web.archive.org/web/20251012052828cs_/https_/nrec.ac.in/css/themify-icons.11.delayed	(from https://web.archive.org/web/20251012052828if_/https://nrec.ac.in/)
15:38:06	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2008%20Jul%202026%2010:08:06%20GMT	https://web.archive.org/web/20250928104859cs_/http://www.nrec.ac.in/css/themify-icons.css	D:/NREC_Website/NREC/web.archive.org/web/20250928104859cs_/http_/www.nrec.ac.in/css/themify-icons.css	(from https://web.archive.org/web/20251012052828if_/https://nrec.ac.in/)
15:38:08	14537/14537	---MCZ	200	added ('OK')	text/css	date:Wed,%2008%20Jul%202026%2010:08:08%20GMT	https://web.archive.org/web/20240809055014cs_/https://nrec.ac.in/css/themify-icons.css	D:/NREC_Website/NREC/web.archive.org/web/20240809055014cs_/https_/nrec.ac.in/css/themify-icons.css	(from https://web.archive.org/web/20251012052828if_/https://nrec.ac.in/)
15:38:12	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2008%20Jul%202026%2010:08:12%20GMT	https://web.archive.org/web/20251012052828cs_/https://nrec.ac.in/css/flaticon.css	D:/NREC_Website/NREC/web.archive.org/web/20251012052828cs_/https_/nrec.ac.in/css/flaticon.14.delayed	(from https://web.archive.org/web/20251012052828if_/https://nrec.ac.in/)
15:38:19	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2008%20Jul%202026%2010:08:19%20GMT	https://web.archive.org/web/20250928092827cs_/http://www.nrec.ac.in/css/flaticon.css	D:/NREC_Website/NREC/web.archive.org/web/20250928092827cs_/http_/www.nrec.ac.in/css/flaticon.css	(from https://web.archive.org/web/20251012052828if_/https://nrec.ac.in/)
15:38:25	3846/3846	---MCZ	200	added ('OK')	text/css	date:Wed,%2008%20Jul%202026%2010:08:24%20GMT	https://web.archive.org/web/20250915230616cs_/http://nrec.ac.in/css/flaticon.css	D:/NREC_Website/NREC/web.archive.org/web/20250915230616cs_/http_/nrec.ac.in/css/flaticon.css	(from https://web.archive.org/web/20251012052828if_/https://nrec.ac.in/)
15:38:27	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2008%20Jul%202026%2010:08:27%20GMT	https://web.archive.org/web/20251012052828cs_/https://nrec.ac.in/css/slick.css	D:/NREC_Website/NREC/web.archive.org/web/20251012052828cs_/https_/nrec.ac.in/css/slick.17.delayed	(from https://web.archive.org/web/20251012052828if_/https://nrec.ac.in/)
15:38:35	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2008%20Jul%202026%2010:08:35%20GMT	https://web.archive.org/web/20250928093423cs_/http://www.nrec.ac.in/css/slick.css	D:/NREC_Website/NREC/web.archive.org/web/20250928093423cs_/http_/www.nrec.ac.in/css/slick.css	(from https://web.archive.org/web/20251012052828if_/https://nrec.ac.in/)
15:38:37	2528/2528	---MCZ	200	added ('OK')	text/css	date:Wed,%2008%20Jul%202026%2010:08:36%20GMT	https://web.archive.org/web/20240809000807cs_/https://nrec.ac.in/css/slick.css	D:/NREC_Website/NREC/web.archive.org/web/20240809000807cs_/https_/nrec.ac.in/css/slick.css	(from https://web.archive.org/web/20251012052828if_/https://nrec.ac.in/)
15:38:39	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2008%20Jul%202026%2010:08:39%20GMT	https://web.archive.org/web/20251012052828cs_/https://nrec.ac.in/revolution/css/rs6.css	D:/NREC_Website/NREC/web.archive.org/web/20251012052828cs_/https_/nrec.ac.in/revolution/css/rs6.1a.delayed	(from https://web.archive.org/web/20251012052828if_/https://nrec.ac.in/)
15:39:47	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2008%20Jul%202026%2010:09:47%20GMT	https://web.archive.org/web/20250928091629cs_/http://www.nrec.ac.in/revolution/css/rs6.css	D:/NREC_Website/NREC/web.archive.org/web/20250928091629cs_/http_/www.nrec.ac.in/revolution/css/rs6.css	(from https://web.archive.org/web/20251012052828if_/https://nrec.ac.in/)
